,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,0,20%,0,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
2,25%,0,0,0,0,0,20%,0,0,0,25%,0,0,0,0,25%,23.75,0.3125,17
3,25%,0,0,0,25%,0,0,0,30%,0,0,0,0,0,25%,0,26.25,0.46875,15.333333333333334
4,0,0,25%,0,0,0,0,30%,30%,0,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
5,0,30%,0,0,0,0,0,30%,30%,0,0,0,0,25%,0,0,28.75,0.675,14
6,25%,0,0,0,0,0,0,30%,0,0,0,25%,0,0,0,25%,26.25,0.46875,15.333333333333334
7,0,0,25%,0,25%,0,0,0,0,20%,0,0,0,0,0,25%,23.75,0.3125,17
8,25%,0,0,0,0,25%,0,0,30%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
9,0,30%,0,0,0,25%,0,0,30%,0,0,0,0,0,25%,0,27.5,0.5625,14.666666666666668
10,25%,0,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
11,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
12,0,0,25%,0,0,0,0,30%,0,0,0,25%,0,0,25%,0,26.25,0.46875,15.333333333333334
13,0,0,0,20%,0,0,0,30%,0,0,0,25%,25%,0,0,0,25,0.375,16.333333333333336
14,0,0,0,20%,0,25%,0,0,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
15,0,30%,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,0,26.25,0.46875,15.333333333333334
16,0,30%,0,0,0,25%,0,0,0,0,0,25%,0,0,0,25%,26.25,0.46875,15.333333333333334
17,0,30%,0,0,0,0,20%,0,0,20%,0,0,25%,0,0,0,23.75,0.3,17.333333333333336
18,0,0,0,20%,25%,0,0,0,0,20%,0,0,0,0,0,25%,22.5,0.25,18
19,0,0,0,20%,0,0,20%,0,0,20%,0,0,0,0,25%,0,21.25,0.2,19
20,0,30%,0,0,0,0,0,30%,30%,0,0,0,0,0,25%,0,28.75,0.675,14
