,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
2,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
3,0,0,25%,0,25%,0,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
4,0,25%,0,0,0,0,0,25%,0,0,0,25%,25%,0,0,0,25,0.390625,16
5,0,0,0,25%,25%,0,0,0,0,25%,0,0,25%,0,0,0,25,0.390625,16
6,0,25%,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
7,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
8,0,0,0,25%,25%,0,0,0,0,25%,0,0,0,0,0,25%,25,0.390625,16
9,0,25%,0,0,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
10,0,25%,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
11,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
12,0,0,0,25%,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
13,0,25%,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
14,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
15,25%,0,0,0,25%,0,0,0,0,25%,0,0,0,0,0,25%,25,0.390625,16
16,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
17,0,0,0,25%,0,0,25%,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
18,0,25%,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
19,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
20,25%,0,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
21,0,0,0,25%,0,25%,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
22,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
