,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,0,24%,0,0,25%,0,0,25%,0,0,0,25%,0,0,24.75,0.375,16.166666666666668
2,26%,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
3,0,0,24%,0,0,0,0,24%,0,0,24%,0,27%,0,0,0,24.75,0.373248,16.203703703703702
4,0,0,24%,0,0,26%,0,0,0,25%,0,0,27%,0,0,0,25.5,0.4212,15.716524216524217
5,0,26%,0,0,0,0,0,24%,0,25%,0,0,0,0,0,24%,24.75,0.3744,16.17948717948718
6,26%,0,0,0,0,0,25%,0,25%,0,0,0,27%,0,0,0,25.75,0.43875,15.54985754985755
7,0,0,24%,0,0,0,25%,0,25%,0,0,0,27%,0,0,0,25.25,0.405,15.870370370370372
8,0,0,0,24%,25%,0,0,0,25%,0,0,0,27%,0,0,0,25.25,0.405,15.870370370370372
9,0,0,24%,0,25%,0,0,0,0,25%,0,0,0,0,24%,0,24.5,0.36,16.333333333333336
10,0,26%,0,0,0,0,25%,0,25%,0,0,0,27%,0,0,0,25.75,0.43875,15.54985754985755
11,26%,0,0,0,25%,0,0,0,0,0,24%,0,27%,0,0,0,25.5,0.4212,15.716524216524219
12,26%,0,0,0,0,0,0,24%,0,25%,0,0,27%,0,0,0,25.5,0.4212,15.716524216524217
13,0,26%,0,0,0,0,25%,0,0,25%,0,0,0,0,24%,0,25,0.39,16.012820512820515
14,0,0,24%,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,24.75,0.375,16.166666666666668
15,26%,0,0,0,0,26%,0,0,0,0,24%,0,27%,0,0,0,25.75,0.438048,15.562678062678064
16,0,26%,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
17,0,26%,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
18,26%,0,0,0,0,26%,0,0,0,0,0,26%,27%,0,0,0,26.25,0.474552,15.242165242165242
19,0,0,24%,0,25%,0,0,0,0,25%,0,0,0,0,0,24%,24.5,0.36,16.333333333333336
20,26%,0,0,0,25%,0,0,0,25%,0,0,0,0,0,0,24%,25,0.39,16.012820512820515
21,0,0,24%,0,25%,0,0,0,0,0,0,26%,0,0,0,24%,24.75,0.3744,16.179487179487182
22,26%,0,0,0,25%,0,0,0,25%,0,0,0,27%,0,0,0,25.75,0.43875,15.54985754985755
23,26%,0,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
24,26%,0,0,0,0,26%,0,0,25%,0,0,0,0,0,0,24%,25.25,0.4056,15.858974358974361
25,26%,0,0,0,25%,0,0,0,0,25%,0,0,0,0,24%,0,25,0.39,16.012820512820515
26,0,26%,0,0,0,26%,0,0,25%,0,0,0,0,25%,0,0,25.5,0.4225,15.692307692307693
27,26%,0,0,0,0,26%,0,0,25%,0,0,0,0,25%,0,0,25.5,0.4225,15.692307692307693
28,0,0,24%,0,25%,0,0,0,0,0,24%,0,0,25%,0,0,24.5,0.36,16.333333333333336
29,0,0,0,24%,0,26%,0,0,25%,0,0,0,0,0,24%,0,24.75,0.3744,16.17948717948718
30,26%,0,0,0,0,26%,0,0,0,25%,0,0,0,0,24%,0,25.25,0.4056,15.858974358974361
31,0,26%,0,0,0,0,0,24%,0,0,0,26%,0,0,24%,0,25,0.389376,16.025641025641026
32,0,0,24%,0,25%,0,0,0,0,0,24%,0,0,0,0,24%,24.25,0.3456,16.500000000000004
33,0,0,24%,0,25%,0,0,0,25%,0,0,0,27%,0,0,0,25.25,0.405,15.870370370370372
34,0,26%,0,0,25%,0,0,0,0,0,0,26%,0,0,24%,0,25.25,0.4056,15.858974358974361
35,0,0,24%,0,0,26%,0,0,0,0,0,26%,27%,0,0,0,25.75,0.438048,15.562678062678064
36,0,26%,0,0,0,26%,0,0,0,0,24%,0,0,0,0,24%,25,0.389376,16.025641025641026
37,0,26%,0,0,25%,0,0,0,25%,0,0,0,27%,0,0,0,25.75,0.43875,15.54985754985755
38,0,0,0,24%,25%,0,0,0,0,25%,0,0,27%,0,0,0,25.25,0.405,15.870370370370372
39,26%,0,0,0,0,0,0,24%,25%,0,0,0,0,25%,0,0,25,0.39,16.01282051282051
40,0,26%,0,0,0,0,25%,0,25%,0,0,0,0,0,0,24%,25,0.39,16.012820512820515
41,0,0,0,24%,25%,0,0,0,25%,0,0,0,0,25%,0,0,24.75,0.375,16.166666666666668
42,0,26%,0,0,25%,0,0,0,0,0,24%,0,0,0,0,24%,24.75,0.3744,16.179487179487182
43,0,26%,0,0,0,0,25%,0,0,0,24%,0,0,0,0,24%,24.75,0.3744,16.179487179487182
44,26%,0,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
45,26%,0,0,0,0,26%,0,0,25%,0,0,0,27%,0,0,0,26,0.4563,15.396011396011398
46,0,26%,0,0,0,26%,0,0,0,0,0,26%,0,25%,0,0,25.75,0.4394,15.538461538461538
47,26%,0,0,0,25%,0,0,0,0,25%,0,0,27%,0,0,0,25.75,0.43875,15.54985754985755
48,0,26%,0,0,0,26%,0,0,0,25%,0,0,27%,0,0,0,26,0.4563,15.396011396011398
49,0,0,0,24%,0,0,0,24%,0,0,24%,0,27%,0,0,0,24.75,0.373248,16.203703703703702
50,0,26%,0,0,25%,0,0,0,0,0,0,26%,27%,0,0,0,26,0.4563,15.396011396011398
51,0,26%,0,0,0,0,0,24%,0,0,0,26%,27%,0,0,0,25.75,0.438048,15.562678062678064
52,26%,0,0,0,0,26%,0,0,0,0,24%,0,0,0,0,24%,25,0.389376,16.025641025641026
53,0,0,0,24%,0,0,0,24%,25%,0,0,0,0,25%,0,0,24.5,0.36,16.333333333333336
54,0,0,0,24%,0,26%,0,0,25%,0,0,0,27%,0,0,0,25.5,0.4212,15.716524216524217
55,0,26%,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
56,26%,0,0,0,0,26%,0,0,0,25%,0,0,0,25%,0,0,25.5,0.4225,15.692307692307693
57,0,26%,0,0,0,0,25%,0,0,0,0,26%,0,0,24%,0,25.25,0.4056,15.858974358974361
58,0,0,24%,0,0,26%,0,0,25%,0,0,0,0,0,0,24%,24.75,0.3744,16.17948717948718
59,26%,0,0,0,0,26%,0,0,0,0,0,26%,0,0,24%,0,25.5,0.421824,15.705128205128204
60,0,26%,0,0,0,0,0,24%,25%,0,0,0,0,0,24%,0,24.75,0.3744,16.17948717948718
61,0,0,0,24%,0,26%,0,0,0,0,0,26%,0,0,0,24%,25,0.389376,16.025641025641026
62,0,26%,0,0,0,0,25%,0,25%,0,0,0,0,0,24%,0,25,0.39,16.012820512820515
63,0,26%,0,0,25%,0,0,0,0,0,24%,0,0,25%,0,0,25,0.39,16.012820512820515
64,0,26%,0,0,0,0,0,24%,0,25%,0,0,0,0,24%,0,24.75,0.3744,16.17948717948718
65,0,26%,0,0,0,26%,0,0,0,0,0,26%,0,0,24%,0,25.5,0.421824,15.705128205128204
66,0,0,0,24%,0,26%,0,0,0,25%,0,0,27%,0,0,0,25.5,0.4212,15.716524216524217
67,0,26%,0,0,25%,0,0,0,0,25%,0,0,0,0,24%,0,25,0.39,16.012820512820515
68,26%,0,0,0,0,26%,0,0,0,25%,0,0,27%,0,0,0,26,0.4563,15.396011396011398
69,0,0,0,24%,0,0,25%,0,0,0,0,26%,27%,0,0,0,25.5,0.4212,15.716524216524219
70,0,0,0,24%,0,26%,0,0,0,0,24%,0,0,0,0,24%,24.5,0.359424,16.346153846153847
71,0,0,0,24%,0,0,0,24%,0,25%,0,0,0,25%,0,0,24.5,0.36,16.333333333333336
72,0,0,0,24%,0,0,25%,0,0,25%,0,0,0,0,24%,0,24.5,0.36,16.333333333333336
73,0,0,24%,0,0,0,0,24%,0,25%,0,0,0,25%,0,0,24.5,0.36,16.333333333333336
74,0,0,0,24%,0,0,25%,0,0,0,0,26%,0,0,24%,0,24.75,0.3744,16.179487179487182
75,26%,0,0,0,0,0,25%,0,0,0,0,26%,0,25%,0,0,25.5,0.4225,15.692307692307693
76,0,0,0,24%,0,0,0,24%,0,0,24%,0,0,25%,0,0,24.25,0.3456,16.5
77,26%,0,0,0,0,0,0,24%,0,0,0,26%,0,25%,0,0,25.25,0.4056,15.85897435897436
78,26%,0,0,0,0,0,25%,0,0,0,24%,0,0,0,24%,0,24.75,0.3744,16.179487179487182
79,26%,0,0,0,0,0,0,24%,0,25%,0,0,0,0,0,24%,24.75,0.3744,16.17948717948718
80,0,0,24%,0,0,26%,0,0,0,25%,0,0,0,25%,0,0,25,0.39,16.01282051282051
81,0,0,0,24%,0,0,25%,0,0,0,24%,0,0,0,24%,0,24.25,0.3456,16.500000000000004
82,0,0,24%,0,0,26%,0,0,0,0,24%,0,0,0,0,24%,24.5,0.359424,16.346153846153847
83,0,0,24%,0,0,0,25%,0,0,0,0,26%,0,25%,0,0,25,0.39,16.012820512820515
84,0,0,24%,0,0,0,25%,0,0,0,24%,0,0,0,24%,0,24.25,0.3456,16.500000000000004
85,0,0,0,24%,0,0,25%,0,0,0,0,26%,0,0,0,24%,24.75,0.3744,16.179487179487182
86,0,0,0,24%,0,0,0,24%,0,0,0,26%,0,25%,0,0,24.75,0.3744,16.179487179487182
87,0,0,0,24%,0,0,0,24%,0,0,24%,0,0,0,24%,0,24,0.331776,16.666666666666668
88,0,0,24%,0,0,0,25%,0,0,0,0,26%,0,0,0,24%,24.75,0.3744,16.179487179487182
89,0,0,0,24%,0,0,0,24%,0,0,0,26%,0,0,0,24%,24.5,0.359424,16.346153846153847
90,0,0,0,24%,0,0,0,24%,0,0,24%,0,0,0,0,24%,24,0.331776,16.666666666666668
91,0,0,24%,0,0,0,25%,0,0,0,24%,0,0,0,0,24%,24.25,0.3456,16.500000000000004
92,0,0,24%,0,0,0,25%,0,0,0,0,26%,0,0,24%,0,24.75,0.3744,16.179487179487182
93,0,0,24%,0,0,0,0,24%,0,0,24%,0,0,0,0,24%,24,0.331776,16.666666666666668
94,0,0,24%,0,0,0,0,24%,0,0,24%,0,0,0,24%,0,24,0.331776,16.666666666666668
95,0,0,24%,0,0,0,0,24%,0,0,0,26%,0,0,24%,0,24.5,0.359424,16.346153846153847
96,0,0,0,24%,0,0,25%,0,0,0,24%,0,0,0,0,24%,24.25,0.3456,16.500000000000004
97,0,0,0,24%,0,0,0,24%,0,0,0,26%,0,0,24%,0,24.5,0.359424,16.346153846153847
98,0,0,24%,0,0,0,0,24%,0,0,0,26%,0,0,0,24%,24.5,0.359424,16.346153846153847
99,0,26%,0,0,0,26%,0,0,0,0,24%,0,27%,0,0,0,25.75,0.438048,15.562678062678064
100,26%,0,0,0,0,0,25%,0,0,0,0,26%,27%,0,0,0,26,0.4563,15.396011396011398
