,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,25%,0,0,0,0,0,25%,0,0,30%,0,0,0,0,25%,0,26.25,0.46875,15.333333333333334
2,25%,0,0,0,25%,0,0,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
3,0,30%,0,0,25%,0,0,0,0,30%,0,0,0,0,0,20%,26.25,0.45,15.666666666666668
4,25%,0,0,0,25%,0,0,0,0,0,0,25%,0,0,0,20%,23.75,0.3125,17
5,25%,0,0,0,0,25%,0,0,0,30%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
6,25%,0,0,0,0,0,25%,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
7,0,30%,0,0,0,0,25%,0,0,30%,0,0,30%,0,0,0,28.75,0.675,14.000000000000002
8,0,0,25%,0,25%,0,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
9,0,0,25%,0,0,25%,0,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
10,0,30%,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
11,0,30%,0,0,25%,0,0,0,0,30%,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
12,0,0,25%,0,0,0,0,25%,0,0,20%,0,0,25%,0,0,23.75,0.3125,17
13,0,0,0,20%,0,0,25%,0,25%,0,0,0,0,25%,0,0,23.75,0.3125,17
14,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
15,0,30%,0,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,26.25,0.46875,15.333333333333334
16,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,25,0.390625,16
17,0,0,0,20%,0,0,25%,0,0,0,20%,0,0,0,25%,0,22.5,0.25,18
18,0,0,0,20%,0,0,0,25%,0,0,20%,0,0,0,0,20%,21.25,0.2,19
19,0,0,0,20%,0,25%,0,0,0,0,20%,0,0,0,0,20%,21.25,0.2,19
20,0,30%,0,0,0,0,0,25%,0,30%,0,0,30%,0,0,0,28.75,0.675,14.000000000000002
