,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,25%,0,0,0,0,0,20%,25%,0,0,0,23.75,0.3125,17
2,0,0,25%,0,0,25%,0,0,30%,0,0,0,0,0,20%,0,25,0.375,16.333333333333336
3,0,0,25%,0,0,0,0,20%,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
4,0,30%,0,0,0,0,30%,0,30%,0,0,0,0,25%,0,0,28.75,0.675,14
5,0,0,25%,0,0,25%,0,0,30%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
6,0,30%,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
7,0,0,25%,0,25%,0,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
8,0,0,0,20%,25%,0,0,0,30%,0,0,0,0,25%,0,0,25,0.375,16.333333333333336
9,0,30%,0,0,0,0,0,20%,0,25%,0,0,0,0,0,30%,26.25,0.45,15.666666666666668
10,0,0,0,20%,25%,0,0,0,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
11,0,30%,0,0,25%,0,0,0,0,25%,0,0,0,0,0,30%,27.5,0.5625,14.666666666666668
12,25%,0,0,0,25%,0,0,0,30%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
13,25%,0,0,0,0,25%,0,0,0,0,0,20%,25%,0,0,0,23.75,0.3125,17
14,0,0,0,20%,0,0,30%,0,0,25%,0,0,0,0,0,30%,26.25,0.45,15.666666666666668
15,0,30%,0,0,0,0,30%,0,0,0,25%,0,0,0,0,30%,28.75,0.675,14.000000000000002
16,25%,0,0,0,0,0,30%,0,0,0,25%,0,0,0,20%,0,25,0.375,16.333333333333336
17,25%,0,0,0,0,0,0,20%,0,0,0,20%,0,0,0,30%,23.75,0.3,17.333333333333332
18,25%,0,0,0,0,0,30%,0,0,25%,0,0,0,0,20%,0,25,0.375,16.333333333333336
19,0,0,0,20%,0,0,0,20%,0,0,0,20%,0,0,20%,0,20,0.16,20
20,0,30%,0,0,0,0,30%,0,30%,0,0,0,0,0,0,30%,30,0.81,13.333333333333334
