,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,30%,0,0,0,0,25%,0,0,0,0,20%,0,0,0,0,25%,25,0.375,16.333333333333336
2,30%,0,0,0,0,0,25%,0,0,30%,0,0,25%,0,0,0,27.5,0.5625,14.666666666666668
3,30%,0,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
4,30%,0,0,0,25%,0,0,0,0,0,0,25%,0,0,0,25%,26.25,0.46875,15.333333333333334
5,0,25%,0,0,0,25%,0,0,0,30%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
6,30%,0,0,0,0,25%,0,0,0,0,0,25%,0,0,0,25%,26.25,0.46875,15.333333333333334
7,0,0,25%,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
8,0,25%,0,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
9,0,25%,0,0,0,0,25%,0,0,30%,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
10,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
11,0,0,25%,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
12,0,0,25%,0,25%,0,0,0,0,30%,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
13,0,25%,0,0,25%,0,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
14,0,25%,0,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,25,0.390625,16
15,0,0,0,20%,0,0,0,25%,0,30%,0,0,0,0,25%,0,25,0.375,16.333333333333336
16,0,0,25%,0,0,0,0,25%,0,0,20%,0,0,25%,0,0,23.75,0.3125,17
17,0,0,0,20%,25%,0,0,0,0,0,20%,0,25%,0,0,0,22.5,0.25,18
18,0,0,0,20%,0,25%,0,0,0,0,20%,0,0,25%,0,0,22.5,0.25,18
19,0,0,0,20%,0,0,0,25%,0,0,0,25%,0,25%,0,0,23.75,0.3125,17
20,30%,0,0,0,0,25%,0,0,0,30%,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
