,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,0,20%,0,25%,0,0,25%,0,0,0,0,0,20%,0,22.5,0.25,18
2,30%,0,0,0,25%,0,0,0,0,30%,0,0,0,30%,0,0,28.75,0.675,14.000000000000002
3,30%,0,0,0,0,0,0,20%,0,0,0,25%,0,30%,0,0,26.25,0.45,15.666666666666668
4,0,0,0,20%,25%,0,0,0,0,0,0,25%,0,0,0,25%,23.75,0.3125,17
5,30%,0,0,0,0,0,30%,0,0,0,0,25%,0,0,0,25%,27.5,0.5625,14.666666666666668
6,0,25%,0,0,0,0,30%,0,25%,0,0,0,0,30%,0,0,27.5,0.5625,14.666666666666668
7,0,0,25%,0,0,25%,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
8,0,0,25%,0,25%,0,0,0,0,30%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
9,0,25%,0,0,25%,0,0,0,0,0,0,25%,0,30%,0,0,26.25,0.46875,15.333333333333334
10,0,0,25%,0,0,0,30%,0,0,0,0,25%,0,0,0,25%,26.25,0.46875,15.333333333333334
11,0,0,25%,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
12,0,25%,0,0,0,0,0,20%,25%,0,0,0,25%,0,0,0,23.75,0.3125,17
13,0,25%,0,0,0,0,30%,0,0,0,20%,0,25%,0,0,0,25,0.375,16.333333333333336
14,0,25%,0,0,0,0,30%,0,0,30%,0,0,25%,0,0,0,27.5,0.5625,14.666666666666668
15,30%,0,0,0,25%,0,0,0,0,0,20%,0,0,0,20%,0,23.75,0.3,17.333333333333336
16,0,0,0,20%,0,25%,0,0,0,0,20%,0,0,0,20%,0,21.25,0.2,19
17,0,0,25%,0,0,0,0,20%,0,30%,0,0,0,0,0,25%,25,0.375,16.333333333333336
18,30%,0,0,0,0,25%,0,0,0,30%,0,0,0,30%,0,0,28.75,0.675,14.000000000000002
19,0,0,0,20%,0,0,0,20%,0,0,20%,0,0,0,20%,0,20,0.16,20
20,30%,0,0,0,0,0,30%,0,0,30%,0,0,0,30%,0,0,30,0.81,13.333333333333334
