,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,0,25%,0,25%,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
2,0,25%,0,0,0,0,0,25%,0,25%,0,0,25%,0,0,0,25,0.390625,16
3,25%,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,25,0.390625,16
4,0,25%,0,0,30%,0,0,0,25%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
5,0,25%,0,0,30%,0,0,0,0,25%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
6,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,0,30%,0,26.25,0.46875,15.333333333333334
7,25%,0,0,0,0,0,0,25%,0,0,25%,0,0,0,30%,0,26.25,0.46875,15.333333333333334
8,25%,0,0,0,30%,0,0,0,0,0,25%,0,0,0,30%,0,27.5,0.5625,14.666666666666668
9,0,0,0,25%,30%,0,0,0,25%,0,0,0,0,0,30%,0,27.5,0.5625,14.666666666666668
10,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,0,30%,0,26.25,0.46875,15.333333333333334
11,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
12,0,25%,0,0,30%,0,0,0,0,0,0,25%,0,0,0,20%,25,0.375,16.333333333333336
13,0,0,25%,0,0,0,20%,0,0,25%,0,0,0,0,0,20%,22.5,0.25,18
14,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,25%,0,0,25,0.390625,16
15,0,0,25%,0,0,0,20%,0,0,25%,0,0,0,25%,0,0,23.75,0.3125,17
16,0,0,0,25%,0,0,20%,0,0,0,0,25%,0,25%,0,0,23.75,0.3125,17
17,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,25%,0,0,25,0.390625,16
18,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,20%,23.75,0.3125,17
19,0,0,25%,0,0,0,20%,0,0,0,25%,0,0,0,0,20%,22.5,0.25,18
20,0,0,25%,0,30%,0,0,0,0,0,25%,0,0,0,30%,0,27.5,0.5625,14.666666666666668
