,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,27%,0,0,0,0,0,26%,0,26%,0,0,0,27%,0,0,0,26.5,0.492804,15.0997150997151
2,0,0,0,20%,29%,0,0,0,26%,0,0,0,0,25%,0,0,25,0.377,16.29442970822281
3,0,0,27%,0,0,25%,0,0,26%,0,0,0,0,0,25%,0,25.75,0.43875,15.54985754985755
4,0,0,0,20%,0,25%,0,0,0,0,23%,0,0,0,25%,0,23.25,0.2875,17.347826086956523
5,0,26%,0,0,29%,0,0,0,0,27%,0,0,27%,0,0,0,27.25,0.549666,14.70183711563022
6,27%,0,0,0,0,0,0,20%,0,27%,0,0,0,25%,0,0,24.75,0.3645,16.40740740740741
7,0,26%,0,0,29%,0,0,0,0,0,0,24%,27%,0,0,0,26.5,0.488592,15.164800078593183
8,0,0,27%,0,29%,0,0,0,26%,0,0,0,27%,0,0,0,27.25,0.549666,14.70183711563022
9,0,26%,0,0,0,25%,0,0,0,27%,0,0,0,25%,0,0,25.75,0.43875,15.54985754985755
10,27%,0,0,0,29%,0,0,0,0,27%,0,0,0,0,25%,0,27,0.528525,14.855683269476373
11,27%,0,0,0,0,25%,0,0,0,27%,0,0,27%,0,0,0,26.5,0.492075,15.111111111111112
12,0,26%,0,0,0,25%,0,0,0,0,23%,0,27%,0,0,0,25.25,0.40365,15.897683636814072
13,0,26%,0,0,0,25%,0,0,0,27%,0,0,27%,0,0,0,26.25,0.47385,15.253561253561255
14,0,0,27%,0,0,0,26%,0,0,0,0,24%,0,25%,0,0,25.5,0.4212,15.716524216524217
15,0,0,0,20%,0,25%,0,0,0,27%,0,0,27%,0,0,0,24.75,0.3645,16.40740740740741
16,0,0,0,20%,0,25%,0,0,0,0,23%,0,0,25%,0,0,23.25,0.2875,17.347826086956523
17,27%,0,0,0,0,0,0,20%,26%,0,0,0,0,0,0,23%,24,0.32292,16.897683636814072
18,0,26%,0,0,0,25%,0,0,0,0,0,24%,0,0,25%,0,25,0.39,16.012820512820515
19,0,0,27%,0,29%,0,0,0,0,27%,0,0,0,0,25%,0,27,0.528525,14.855683269476373
20,27%,0,0,0,0,0,0,20%,0,0,23%,0,0,0,25%,0,23.75,0.3105,17.051529790660226
21,0,0,27%,0,29%,0,0,0,0,0,23%,0,27%,0,0,0,26.5,0.486243,15.203509356432894
22,0,26%,0,0,29%,0,0,0,0,0,23%,0,0,25%,0,0,25.75,0.43355,15.642255795179333
23,0,26%,0,0,0,25%,0,0,0,0,23%,0,0,0,25%,0,24.75,0.37375,16.19397993311037
24,27%,0,0,0,0,0,26%,0,0,0,23%,0,27%,0,0,0,25.75,0.435942,15.601387340517777
25,27%,0,0,0,0,25%,0,0,0,0,0,24%,0,0,25%,0,25.25,0.405,15.87037037037037
26,0,0,27%,0,29%,0,0,0,0,0,0,24%,27%,0,0,0,26.75,0.507384,15.022349936143039
27,27%,0,0,0,0,0,26%,0,0,27%,0,0,27%,0,0,0,26.75,0.511758,14.957264957264957
28,27%,0,0,0,0,25%,0,0,26%,0,0,0,27%,0,0,0,26.25,0.47385,15.253561253561255
29,0,0,27%,0,0,0,0,20%,0,27%,0,0,27%,0,0,0,25.25,0.39366,16.11111111111111
30,27%,0,0,0,29%,0,0,0,26%,0,0,0,0,25%,0,0,26.75,0.50895,14.998133411926515
31,27%,0,0,0,29%,0,0,0,0,27%,0,0,0,0,0,23%,26.5,0.486243,15.203509356432894
32,0,26%,0,0,0,0,0,20%,0,27%,0,0,0,0,0,23%,24,0.32292,16.897683636814072
33,27%,0,0,0,0,0,26%,0,0,0,0,24%,27%,0,0,0,26,0.454896,15.420227920227921
34,0,26%,0,0,0,0,26%,0,26%,0,0,0,0,25%,0,0,25.75,0.4394,15.538461538461538
35,27%,0,0,0,29%,0,0,0,26%,0,0,0,27%,0,0,0,27.25,0.549666,14.70183711563022
36,27%,0,0,0,29%,0,0,0,0,0,0,24%,0,0,0,23%,25.75,0.432216,15.666472319395856
37,0,0,0,20%,0,25%,0,0,0,27%,0,0,0,0,25%,0,24.25,0.3375,16.703703703703702
38,0,0,27%,0,29%,0,0,0,0,0,0,24%,0,25%,0,0,26.25,0.4698,15.318646232439335
39,0,26%,0,0,0,0,0,20%,0,27%,0,0,27%,0,0,0,25,0.37908,16.253561253561255
40,27%,0,0,0,0,25%,0,0,0,27%,0,0,0,25%,0,0,26,0.455625,15.407407407407408
41,0,0,27%,0,0,25%,0,0,0,27%,0,0,27%,0,0,0,26.5,0.492075,15.111111111111112
42,27%,0,0,0,0,0,26%,0,0,0,0,24%,0,25%,0,0,25.5,0.4212,15.716524216524217
43,0,0,0,20%,0,0,26%,0,0,0,0,24%,0,0,25%,0,23.75,0.312,17.012820512820515
44,27%,0,0,0,29%,0,0,0,0,0,0,24%,0,25%,0,0,26.25,0.4698,15.318646232439335
45,0,26%,0,0,0,25%,0,0,26%,0,0,0,0,0,0,23%,25,0.3887,16.040133779264217
46,0,0,27%,0,0,0,26%,0,0,27%,0,0,0,0,25%,0,26.25,0.47385,15.253561253561253
47,27%,0,0,0,29%,0,0,0,0,0,23%,0,27%,0,0,0,26.5,0.486243,15.203509356432894
48,27%,0,0,0,29%,0,0,0,0,0,0,24%,0,0,25%,0,26.25,0.4698,15.318646232439335
49,27%,0,0,0,0,0,0,20%,0,0,0,24%,0,0,25%,0,24,0.324,16.87037037037037
50,0,0,27%,0,29%,0,0,0,26%,0,0,0,0,0,25%,0,26.75,0.50895,14.998133411926515
51,0,26%,0,0,29%,0,0,0,0,0,0,24%,0,0,0,23%,25.5,0.416208,15.808922461846
52,0,26%,0,0,29%,0,0,0,26%,0,0,0,0,0,25%,0,26.5,0.4901,15.140583554376658
53,27%,0,0,0,0,25%,0,0,0,0,23%,0,27%,0,0,0,25.5,0.419175,15.75523349436393
54,0,0,0,20%,0,0,26%,0,0,0,23%,0,0,0,0,23%,23,0.27508,17.54180602006689
55,27%,0,0,0,0,25%,0,0,0,0,0,24%,27%,0,0,0,25.75,0.4374,15.574074074074074
56,0,0,0,20%,29%,0,0,0,26%,0,0,0,27%,0,0,0,25.5,0.40716,15.998133411926515
57,0,26%,0,0,29%,0,0,0,0,27%,0,0,0,0,25%,0,26.75,0.50895,14.998133411926515
58,0,26%,0,0,29%,0,0,0,0,0,23%,0,0,0,25%,0,25.75,0.43355,15.642255795179333
59,0,0,27%,0,0,25%,0,0,0,27%,0,0,0,25%,0,0,26,0.455625,15.407407407407408
60,0,0,27%,0,29%,0,0,0,0,0,23%,0,0,0,0,23%,25.5,0.414207,15.847631739685712
61,0,0,27%,0,29%,0,0,0,0,27%,0,0,0,25%,0,0,27,0.528525,14.855683269476373
62,27%,0,0,0,0,0,26%,0,26%,0,0,0,0,0,25%,0,26,0.4563,15.396011396011396
63,0,0,27%,0,0,0,0,20%,26%,0,0,0,27%,0,0,0,25,0.37908,16.253561253561255
64,27%,0,0,0,0,0,26%,0,26%,0,0,0,0,0,0,23%,25.5,0.419796,15.743837482967917
65,0,0,27%,0,0,25%,0,0,26%,0,0,0,27%,0,0,0,26.25,0.47385,15.253561253561255
66,0,0,27%,0,0,0,26%,0,26%,0,0,0,27%,0,0,0,26.5,0.492804,15.0997150997151
67,0,26%,0,0,0,25%,0,0,0,0,0,24%,0,0,0,23%,24.5,0.3588,16.360646599777034
68,0,0,0,20%,0,0,26%,0,0,0,0,24%,0,25%,0,0,23.75,0.312,17.012820512820515
69,0,0,0,20%,0,25%,0,0,0,0,0,24%,0,25%,0,0,23.5,0.3,17.166666666666668
70,0,26%,0,0,0,0,26%,0,26%,0,0,0,0,0,25%,0,25.75,0.4394,15.538461538461538
71,0,0,0,20%,0,25%,0,0,0,27%,0,0,0,0,0,23%,23.75,0.3105,17.051529790660226
72,0,26%,0,0,0,25%,0,0,0,0,23%,0,0,0,0,23%,24.25,0.34385,16.54180602006689
73,0,0,27%,0,0,0,0,20%,26%,0,0,0,0,25%,0,0,24.5,0.351,16.54985754985755
74,0,26%,0,0,0,0,0,20%,0,0,0,24%,0,0,0,23%,23.25,0.28704,17.360646599777034
75,0,0,27%,0,0,0,26%,0,0,0,23%,0,0,25%,0,0,25.25,0.40365,15.897683636814072
76,0,26%,0,0,0,25%,0,0,0,27%,0,0,0,0,25%,0,25.75,0.43875,15.54985754985755
77,0,0,27%,0,0,0,26%,0,26%,0,0,0,0,25%,0,0,26,0.4563,15.396011396011396
78,0,26%,0,0,0,0,26%,0,0,27%,0,0,0,0,0,23%,25.5,0.419796,15.743837482967917
79,0,26%,0,0,0,0,26%,0,0,0,23%,0,0,0,0,23%,24.5,0.357604,16.387959866220733
80,0,0,27%,0,0,0,0,20%,26%,0,0,0,0,0,25%,0,24.5,0.351,16.54985754985755
81,0,26%,0,0,0,0,26%,0,0,27%,0,0,0,25%,0,0,26,0.4563,15.396011396011396
82,0,26%,0,0,0,0,0,20%,26%,0,0,0,0,0,0,23%,23.75,0.31096,17.040133779264217
83,0,0,0,20%,0,0,26%,0,0,27%,0,0,0,0,0,23%,24,0.32292,16.897683636814072
84,0,0,0,20%,0,0,26%,0,0,0,23%,0,0,25%,0,0,23.5,0.299,17.19397993311037
85,0,0,0,20%,0,0,0,20%,26%,0,0,0,0,25%,0,0,22.75,0.26,17.846153846153847
86,0,0,0,20%,0,0,26%,0,26%,0,0,0,0,25%,0,0,24.25,0.338,16.692307692307693
87,0,0,27%,0,0,0,26%,0,0,0,0,24%,0,0,25%,0,25.5,0.4212,15.716524216524217
88,0,0,27%,0,0,0,0,20%,0,0,23%,0,0,0,0,23%,23.25,0.28566,17.39935587761675
