,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,25%,0,0,0,26%,0,0,0,25%,0,0,0,0,0,0,24%,25,0.39,16.012820512820515
2,25%,0,0,0,0,0,0,25%,0,0,0,25%,0,25%,0,0,25,0.390625,16
3,25%,0,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,25,0.390625,16
4,0,0,26%,0,26%,0,0,0,0,0,25%,0,25%,0,0,0,25.5,0.4225,15.692307692307693
5,0,25%,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
6,25%,0,0,0,0,0,24%,0,0,25%,0,0,25%,0,0,0,24.75,0.375,16.166666666666668
7,0,0,26%,0,0,0,24%,0,25%,0,0,0,25%,0,0,0,25,0.39,16.01282051282051
8,25%,0,0,0,26%,0,0,0,25%,0,0,0,0,0,26%,0,25.5,0.4225,15.692307692307693
9,0,0,26%,0,26%,0,0,0,25%,0,0,0,0,25%,0,0,25.5,0.4225,15.692307692307693
10,0,0,0,24%,0,0,0,25%,0,0,25%,0,0,25%,0,0,24.75,0.375,16.166666666666668
11,25%,0,0,0,26%,0,0,0,25%,0,0,0,25%,0,0,0,25.25,0.40625,15.846153846153847
12,25%,0,0,0,26%,0,0,0,25%,0,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
13,0,0,26%,0,0,0,24%,0,25%,0,0,0,0,25%,0,0,25,0.39,16.01282051282051
14,0,0,0,24%,26%,0,0,0,0,0,25%,0,0,0,0,24%,24.75,0.3744,16.17948717948718
15,25%,0,0,0,0,0,24%,0,0,0,0,25%,25%,0,0,0,24.75,0.375,16.166666666666668
16,0,0,0,24%,0,25%,0,0,0,25%,0,0,0,25%,0,0,24.75,0.375,16.166666666666668
17,0,0,26%,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25.25,0.40625,15.846153846153847
18,0,0,0,24%,0,25%,0,0,0,0,0,25%,0,25%,0,0,24.75,0.375,16.166666666666668
19,25%,0,0,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
20,0,0,26%,0,0,0,0,25%,0,0,0,25%,0,0,0,24%,25,0.39,16.012820512820515
21,0,0,26%,0,26%,0,0,0,0,25%,0,0,25%,0,0,0,25.5,0.4225,15.692307692307693
22,0,0,0,24%,26%,0,0,0,0,0,25%,0,0,0,26%,0,25.25,0.4056,15.85897435897436
23,0,25%,0,0,26%,0,0,0,25%,0,0,0,25%,0,0,0,25.25,0.40625,15.846153846153847
24,0,0,26%,0,0,0,0,25%,0,0,0,25%,25%,0,0,0,25.25,0.40625,15.846153846153847
25,25%,0,0,0,0,0,24%,0,25%,0,0,0,0,0,0,24%,24.5,0.36,16.333333333333336
26,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,0,26%,0,25.25,0.40625,15.846153846153847
27,0,25%,0,0,0,0,24%,0,0,0,0,25%,0,25%,0,0,24.75,0.375,16.166666666666668
28,0,0,0,24%,26%,0,0,0,0,0,0,25%,0,0,26%,0,25.25,0.4056,15.85897435897436
29,0,25%,0,0,0,0,0,25%,0,25%,0,0,25%,0,0,0,25,0.390625,16
30,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,26%,0,25.25,0.40625,15.846153846153847
31,0,0,0,24%,0,25%,0,0,0,25%,0,0,0,0,0,24%,24.5,0.36,16.333333333333336
32,0,25%,0,0,0,0,0,25%,25%,0,0,0,0,0,26%,0,25.25,0.40625,15.846153846153847
33,0,0,26%,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,25.25,0.40625,15.846153846153847
