,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,0,0,25%,0,30%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
2,0,0,0,20%,0,0,0,25%,25%,0,0,0,0,25%,0,0,23.75,0.3125,17
3,0,0,25%,0,30%,0,0,0,25%,0,0,0,0,0,0,20%,25,0.375,16.333333333333336
4,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,0,30%,0,26.25,0.46875,15.333333333333334
5,0,25%,0,0,30%,0,0,0,0,0,25%,0,25%,0,0,0,26.25,0.46875,15.333333333333334
6,0,25%,0,0,30%,0,0,0,25%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
7,0,0,25%,0,0,0,0,25%,0,30%,0,0,0,0,30%,0,27.5,0.5625,14.666666666666668
8,30%,0,0,0,30%,0,0,0,0,30%,0,0,0,25%,0,0,28.75,0.675,14
9,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
10,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,0,30%,0,26.25,0.46875,15.333333333333334
11,30%,0,0,0,0,25%,0,0,0,0,25%,0,0,0,0,20%,25,0.375,16.333333333333336
12,0,0,0,20%,0,25%,0,0,0,30%,0,0,0,0,0,20%,23.75,0.3,17.333333333333336
13,0,0,25%,0,30%,0,0,0,0,30%,0,0,0,0,30%,0,28.75,0.675,14.000000000000002
14,30%,0,0,0,0,0,0,25%,25%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
15,30%,0,0,0,0,0,20%,0,0,0,0,20%,0,0,30%,0,25,0.36,16.666666666666668
16,0,0,25%,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
17,0,0,0,20%,0,0,20%,0,0,0,0,20%,0,0,0,20%,20,0.16,20
18,0,0,0,20%,0,0,20%,0,0,0,0,20%,0,25%,0,0,21.25,0.2,19
19,30%,0,0,0,0,0,20%,0,0,0,0,20%,0,25%,0,0,23.75,0.3,17.333333333333336
20,30%,0,0,0,30%,0,0,0,0,30%,0,0,0,0,30%,0,30,0.81,13.333333333333334
