,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,30%,0,0,0,0,25%,0,30%,0,0,0,0,0,20%,26.25,0.45,15.666666666666668
2,0,0,30%,0,25%,0,0,0,0,30%,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
3,0,0,30%,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
4,25%,0,0,0,0,25%,0,0,0,0,25%,0,30%,0,0,0,26.25,0.46875,15.333333333333334
5,25%,0,0,0,0,25%,0,0,0,30%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
6,0,25%,0,0,25%,0,0,0,0,30%,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
7,0,0,30%,0,25%,0,0,0,0,0,0,20%,0,25%,0,0,25,0.375,16.333333333333336
8,25%,0,0,0,0,0,25%,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
9,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
10,0,0,30%,0,0,0,0,25%,25%,0,0,0,0,0,0,20%,25,0.375,16.333333333333336
11,0,25%,0,0,0,25%,0,0,25%,0,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
12,0,25%,0,0,0,25%,0,0,0,0,0,20%,0,0,25%,0,23.75,0.3125,17
13,0,0,0,20%,0,25%,0,0,25%,0,0,0,0,0,25%,0,23.75,0.3125,17
14,0,0,0,20%,0,0,25%,0,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
15,25%,0,0,0,0,0,25%,0,0,0,0,20%,0,0,25%,0,23.75,0.3125,17
16,0,0,0,20%,0,0,0,25%,0,0,0,20%,0,0,0,20%,21.25,0.2,19
17,0,0,0,20%,0,0,25%,0,0,0,25%,0,30%,0,0,0,25,0.375,16.333333333333332
18,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,25,0.390625,16
19,25%,0,0,0,0,0,25%,0,0,30%,0,0,0,0,0,20%,25,0.375,16.333333333333336
20,0,0,30%,0,0,0,0,25%,0,30%,0,0,30%,0,0,0,28.75,0.675,14.000000000000002
