,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,30%,0,0,0,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
2,0,0,25%,0,0,0,0,25%,0,35%,0,0,0,0,0,30%,28.75,0.65625,14.190476190476192
3,25%,0,0,0,0,30%,0,0,0,35%,0,0,0,0,0,30%,30,0.7875,13.523809523809526
4,0,0,25%,0,0,30%,0,0,0,0,25%,0,30%,0,0,0,27.5,0.5625,14.666666666666668
5,0,0,25%,0,30%,0,0,0,0,0,0,15%,0,25%,0,0,23.75,0.28125,18
6,25%,0,0,0,0,30%,0,0,0,0,25%,0,30%,0,0,0,27.5,0.5625,14.666666666666668
7,0,25%,0,0,30%,0,0,0,0,0,25%,0,30%,0,0,0,27.5,0.5625,14.666666666666668
8,0,25%,0,0,30%,0,0,0,0,35%,0,0,0,25%,0,0,28.75,0.65625,14.190476190476192
9,25%,0,0,0,30%,0,0,0,0,0,25%,0,30%,0,0,0,27.5,0.5625,14.666666666666668
10,0,25%,0,0,0,0,15%,0,25%,0,0,0,30%,0,0,0,23.75,0.28125,18
11,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,15%,0,22.5,0.234375,18.666666666666668
12,0,25%,0,0,0,30%,0,0,25%,0,0,0,0,0,0,30%,27.5,0.5625,14.666666666666668
13,0,0,0,25%,0,30%,0,0,0,35%,0,0,0,0,0,30%,30,0.7875,13.523809523809526
14,0,25%,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,25,0.390625,16
15,25%,0,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,25,0.390625,16
16,25%,0,0,0,0,0,15%,0,0,0,0,15%,0,0,0,30%,21.25,0.16875,20.666666666666668
17,0,0,0,25%,0,0,0,25%,0,35%,0,0,0,0,15%,0,25,0.328125,17.523809523809526
18,0,0,0,25%,0,0,15%,0,0,0,0,15%,0,0,15%,0,17.5,0.084375,24.000000000000004
19,0,0,0,25%,30%,0,0,0,0,35%,0,0,0,0,0,30%,30,0.7875,13.523809523809526
20,0,0,0,25%,0,30%,0,0,0,35%,0,0,30%,0,0,0,30,0.7875,13.523809523809526
