,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,30%,0,0,0,0,30%,0,0,30%,0,0,0,0,25%,0,0,28.75,0.675,14
2,30%,0,0,0,25%,0,0,0,0,25%,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
3,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
4,0,25%,0,0,0,0,25%,0,0,25%,0,0,30%,0,0,0,26.25,0.46875,15.333333333333334
5,0,0,25%,0,25%,0,0,0,30%,0,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
6,30%,0,0,0,0,0,0,20%,0,0,0,20%,30%,0,0,0,25,0.36,16.666666666666668
7,0,25%,0,0,0,30%,0,0,0,25%,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
8,30%,0,0,0,0,0,25%,0,0,25%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
9,0,25%,0,0,0,30%,0,0,0,0,25%,0,0,25%,0,0,26.25,0.46875,15.333333333333334
10,30%,0,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,26.25,0.46875,15.333333333333334
11,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
12,0,0,25%,0,0,30%,0,0,30%,0,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
13,0,0,0,20%,25%,0,0,0,0,0,0,20%,0,0,0,25%,22.5,0.25,18
14,0,0,25%,0,0,0,0,20%,0,0,25%,0,0,0,20%,0,22.5,0.25,18
15,0,0,25%,0,25%,0,0,0,30%,0,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
16,0,0,25%,0,0,30%,0,0,30%,0,0,0,30%,0,0,0,28.75,0.675,14.000000000000002
17,0,0,0,20%,0,0,25%,0,0,0,0,20%,0,0,20%,0,21.25,0.2,19
18,0,0,0,20%,0,0,0,20%,0,0,25%,0,0,0,20%,0,21.25,0.2,19
19,0,0,0,20%,0,0,0,20%,0,0,0,20%,0,0,20%,0,20,0.16,20
20,30%,0,0,0,0,30%,0,0,30%,0,0,0,30%,0,0,0,30,0.81,13.333333333333334
