,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,25%,0,0,0,0,25%,0,0,0,30%,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
2,25%,0,0,0,0,0,0,20%,25%,0,0,0,0,25%,0,0,23.75,0.3125,17
3,0,25%,0,0,30%,0,0,0,25%,0,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
4,0,0,25%,0,30%,0,0,0,0,30%,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
5,0,25%,0,0,30%,0,0,0,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
6,25%,0,0,0,0,25%,0,0,0,0,25%,0,0,0,0,30%,26.25,0.46875,15.333333333333334
7,0,0,25%,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
8,25%,0,0,0,0,25%,0,0,0,0,0,20%,0,0,0,30%,25,0.375,16.333333333333332
9,0,0,0,25%,30%,0,0,0,25%,0,0,0,0,25%,0,0,26.25,0.46875,15.333333333333334
10,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,0,20%,0,23.75,0.3125,17
11,0,0,0,25%,30%,0,0,0,0,30%,0,0,25%,0,0,0,27.5,0.5625,14.666666666666668
12,25%,0,0,0,0,0,0,20%,0,0,25%,0,0,0,0,30%,25,0.375,16.333333333333332
13,0,0,25%,0,0,0,25%,0,0,30%,0,0,0,0,20%,0,25,0.375,16.333333333333336
14,0,0,0,25%,0,0,0,20%,0,0,25%,0,0,0,0,30%,25,0.375,16.333333333333332
15,0,0,0,25%,0,25%,0,0,0,0,0,20%,25%,0,0,0,23.75,0.3125,17
16,0,0,25%,0,0,0,25%,0,0,30%,0,0,25%,0,0,0,26.25,0.46875,15.333333333333334
17,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,30%,26.25,0.46875,15.333333333333334
18,0,25%,0,0,0,0,25%,0,0,0,0,20%,0,0,20%,0,22.5,0.25,18
19,0,25%,0,0,0,0,0,20%,0,0,0,20%,0,0,20%,0,21.25,0.2,19
20,0,25%,0,0,30%,0,0,0,0,30%,0,0,0,0,0,30%,28.75,0.675,14.000000000000002
