,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,25%,0,0,0,35%,0,0,0,25%,0,0,30%,0,0,0,28.75,0.65625,14.190476190476192
2,0,0,30%,0,0,0,0,25%,0,0,30%,0,0,30%,0,0,28.75,0.675,14.000000000000002
3,30%,0,0,0,0,0,0,25%,25%,0,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
4,30%,0,0,0,25%,0,0,0,25%,0,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
5,30%,0,0,0,0,35%,0,0,25%,0,0,0,30%,0,0,0,30,0.7875,13.523809523809524
6,30%,0,0,0,0,35%,0,0,25%,0,0,0,0,30%,0,0,30,0.7875,13.523809523809524
7,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,30%,0,0,26.25,0.46875,15.333333333333334
8,0,0,30%,0,0,35%,0,0,25%,0,0,0,0,0,0,25%,28.75,0.65625,14.19047619047619
9,0,0,30%,0,25%,0,0,0,0,25%,0,0,30%,0,0,0,27.5,0.5625,14.666666666666668
10,0,0,0,15%,0,0,15%,0,0,25%,0,0,30%,0,0,0,21.25,0.16875,20.666666666666668
11,0,0,30%,0,25%,0,0,0,0,0,0,20%,0,0,0,25%,25,0.375,16.333333333333336
12,0,25%,0,0,25%,0,0,0,0,0,30%,0,0,0,0,25%,26.25,0.46875,15.333333333333334
13,30%,0,0,0,0,0,0,25%,0,25%,0,0,0,30%,0,0,27.5,0.5625,14.666666666666668
14,0,25%,0,0,0,35%,0,0,0,0,30%,0,0,0,0,25%,28.75,0.65625,14.190476190476192
15,0,25%,0,0,0,0,0,25%,0,0,30%,0,0,0,15%,0,23.75,0.28125,18
16,0,0,0,15%,0,0,15%,0,0,0,0,20%,0,0,15%,0,16.25,0.0675,25.000000000000004
17,0,0,30%,0,0,0,0,25%,0,0,0,20%,0,30%,0,0,26.25,0.45,15.666666666666668
18,0,0,0,15%,0,0,15%,0,0,0,30%,0,0,0,15%,0,18.75,0.10125,23.333333333333336
19,0,0,30%,0,0,35%,0,0,0,0,30%,0,30%,0,0,0,31.25,0.945,12.857142857142858
20,30%,0,0,0,0,35%,0,0,0,0,0,20%,0,30%,0,0,28.75,0.63,14.523809523809524
