,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,26%,0,0,27%,0,0,0,0,27%,0,0,0,0,25%,0,26.25,0.47385,15.253561253561253
2,27%,0,0,0,27%,0,0,0,27%,0,0,0,0,0,0,21%,25.5,0.413343,15.873015873015873
3,0,0,25%,0,0,0,0,22%,0,0,26%,0,29%,0,0,0,25.5,0.4147,15.839884253677358
4,0,0,25%,0,0,0,0,22%,0,27%,0,0,0,0,25%,0,24.75,0.37125,16.24915824915825
5,0,26%,0,0,27%,0,0,0,0,27%,0,0,29%,0,0,0,27.25,0.549666,14.70183711563022
6,27%,0,0,0,27%,0,0,0,27%,0,0,0,0,25%,0,0,26.5,0.492075,15.11111111111111
7,0,26%,0,0,0,0,25%,0,0,27%,0,0,0,0,25%,0,25.75,0.43875,15.54985754985755
8,0,0,25%,0,0,0,25%,0,0,0,0,20%,0,25%,0,0,23.75,0.3125,17
9,0,0,25%,0,27%,0,0,0,0,0,0,20%,0,0,0,21%,23.25,0.2835,17.465608465608465
10,0,0,0,22%,0,26%,0,0,0,27%,0,0,0,0,25%,0,25,0.3861,16.095312095312096
11,0,26%,0,0,0,26%,0,0,0,0,0,20%,0,25%,0,0,24.25,0.338,16.692307692307693
12,0,26%,0,0,0,26%,0,0,0,27%,0,0,0,25%,0,0,26,0.4563,15.396011396011396
13,0,26%,0,0,27%,0,0,0,27%,0,0,0,29%,0,0,0,27.25,0.549666,14.70183711563022
14,0,26%,0,0,27%,0,0,0,0,0,0,20%,0,25%,0,0,24.5,0.351,16.54985754985755
15,0,0,25%,0,27%,0,0,0,0,0,0,20%,29%,0,0,0,25.25,0.3915,16.15197956577267
16,27%,0,0,0,0,26%,0,0,27%,0,0,0,0,0,0,21%,25.25,0.398034,16.015466015466014
17,0,26%,0,0,27%,0,0,0,0,0,26%,0,29%,0,0,0,27,0.529308,14.84428725808036
18,27%,0,0,0,0,26%,0,0,0,0,0,20%,0,0,0,21%,23.5,0.29484,17.311762311762312
19,27%,0,0,0,0,0,25%,0,0,27%,0,0,0,0,0,21%,25,0.382725,16.16931216931217
20,0,0,0,22%,0,0,25%,0,27%,0,0,0,0,25%,0,0,24.75,0.37125,16.24915824915825
21,27%,0,0,0,27%,0,0,0,0,27%,0,0,29%,0,0,0,27.5,0.570807,14.559386973180075
22,27%,0,0,0,0,26%,0,0,0,27%,0,0,0,25%,0,0,26.25,0.47385,15.253561253561253
23,0,0,0,22%,0,26%,0,0,0,0,0,20%,29%,0,0,0,24.25,0.33176,16.839884253677358
24,27%,0,0,0,27%,0,0,0,0,0,0,20%,29%,0,0,0,25.75,0.42282,15.855683269476373
25,0,26%,0,0,0,0,25%,0,0,0,0,20%,0,0,0,21%,23,0.273,17.60805860805861
26,0,26%,0,0,0,0,25%,0,0,0,26%,0,0,25%,0,0,25.5,0.4225,15.692307692307693
27,27%,0,0,0,0,26%,0,0,27%,0,0,0,29%,0,0,0,27.25,0.549666,14.70183711563022
28,0,0,25%,0,27%,0,0,0,27%,0,0,0,29%,0,0,0,27,0.528525,14.855683269476373
29,27%,0,0,0,0,0,25%,0,27%,0,0,0,0,25%,0,0,26,0.455625,15.407407407407408
30,27%,0,0,0,0,0,25%,0,0,0,26%,0,29%,0,0,0,26.75,0.50895,14.998133411926517
31,27%,0,0,0,0,26%,0,0,0,0,26%,0,0,0,25%,0,26,0.4563,15.396011396011396
32,27%,0,0,0,0,0,0,22%,0,0,26%,0,29%,0,0,0,26,0.447876,15.54358795738106
33,0,26%,0,0,27%,0,0,0,0,0,0,20%,29%,0,0,0,25.5,0.40716,15.998133411926514
34,27%,0,0,0,27%,0,0,0,0,0,26%,0,29%,0,0,0,27.25,0.549666,14.70183711563022
35,27%,0,0,0,0,0,0,22%,0,27%,0,0,0,0,25%,0,25.25,0.40095,15.952861952861953
36,0,0,25%,0,0,0,25%,0,0,27%,0,0,0,0,25%,0,25.5,0.421875,15.703703703703704
37,0,0,25%,0,27%,0,0,0,0,27%,0,0,29%,0,0,0,27,0.528525,14.855683269476373
38,0,0,25%,0,0,26%,0,0,0,0,26%,0,29%,0,0,0,26.5,0.4901,15.140583554376658
39,0,26%,0,0,0,0,0,22%,27%,0,0,0,29%,0,0,0,26,0.447876,15.54358795738106
40,0,0,0,22%,27%,0,0,0,27%,0,0,0,0,25%,0,0,25.25,0.40095,15.952861952861953
41,27%,0,0,0,0,0,25%,0,27%,0,0,0,29%,0,0,0,27,0.528525,14.855683269476373
42,0,0,0,22%,0,26%,0,0,0,0,26%,0,29%,0,0,0,25.75,0.431288,15.686038099831205
43,0,0,25%,0,0,0,25%,0,27%,0,0,0,0,0,0,21%,24.5,0.354375,16.465608465608465
44,27%,0,0,0,0,0,25%,0,0,27%,0,0,29%,0,0,0,27,0.528525,14.855683269476373
45,0,26%,0,0,0,0,0,22%,0,27%,0,0,29%,0,0,0,26,0.447876,15.54358795738106
46,27%,0,0,0,27%,0,0,0,0,27%,0,0,0,0,25%,0,26.5,0.492075,15.11111111111111
47,0,26%,0,0,0,26%,0,0,27%,0,0,0,0,0,25%,0,26,0.4563,15.396011396011396
48,27%,0,0,0,0,26%,0,0,0,0,26%,0,29%,0,0,0,27,0.529308,14.84428725808036
49,27%,0,0,0,0,0,25%,0,0,27%,0,0,0,0,25%,0,26,0.455625,15.407407407407408
50,27%,0,0,0,0,26%,0,0,0,27%,0,0,0,0,0,21%,25.25,0.398034,16.015466015466014
51,27%,0,0,0,0,26%,0,0,0,0,0,20%,0,25%,0,0,24.5,0.351,16.54985754985755
52,0,26%,0,0,0,26%,0,0,27%,0,0,0,29%,0,0,0,27,0.529308,14.84428725808036
53,0,26%,0,0,0,26%,0,0,0,0,26%,0,29%,0,0,0,26.75,0.509704,14.986737400530505
54,27%,0,0,0,27%,0,0,0,0,0,26%,0,0,25%,0,0,26.25,0.47385,15.253561253561253
55,0,0,25%,0,27%,0,0,0,0,0,26%,0,0,0,25%,0,25.75,0.43875,15.54985754985755
56,0,0,25%,0,27%,0,0,0,27%,0,0,0,0,25%,0,0,26,0.455625,15.407407407407408
57,0,26%,0,0,27%,0,0,0,0,0,26%,0,0,25%,0,0,26,0.4563,15.396011396011396
58,0,0,0,22%,0,0,25%,0,0,0,26%,0,29%,0,0,0,25.5,0.4147,15.839884253677358
59,27%,0,0,0,0,26%,0,0,27%,0,0,0,0,0,25%,0,26.25,0.47385,15.253561253561253
60,0,0,0,22%,0,26%,0,0,27%,0,0,0,0,0,25%,0,25,0.3861,16.095312095312096
