Image	Name	Price	Description	Metadata Rarity
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/1.png	Collection june #1	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/1.json	16
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/10.png	Collection june #10	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/10.json	19
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/11.png	Collection june #11	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/11.json	20
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/12.png	Collection june #12	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/12.json	21
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/13.png	Collection june #13	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/13.json	22
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/14.png	Collection june #14	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/14.json	23
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/15.png	Collection june #15	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/15.json	24
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/16.png	Collection june #16	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/16.json	25
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/17.png	Collection june #17	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/17.json	26
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/18.png	Collection june #18	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/18.json	27
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/19.png	Collection june #19	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/19.json	28
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/2.png	Collection june #2	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/2.json	13
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/20.png	Collection june #20	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/20.json	29
https://piptle.mypinata.cloud/ipfs/QmYZcbMFnCo5J74BGkB27MqJCh2YZpgTrMRtTyE47WWiTv/3.png	Collection june #3	 	Collection June	https://piptle.mypinata.cloud/ipfs/QmVrjZcmQjLhq5wDVBSaZ88XwwxB1UYY3fB5tJMqvCFMLS/3.json	12
