,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,10%,0,0,0,0,0,30%,0,0,0,0,30%,0,40%,0,0,27.5,0.36,19.166666666666668
2,10%,0,0,0,40%,0,0,0,0,0,40%,0,10%,0,0,0,25,0.16,25
3,0,0,30%,0,40%,0,0,0,0,20%,0,0,10%,0,0,0,25,0.24,20.833333333333336
4,0,0,0,40%,0,0,30%,0,10%,0,0,0,0,40%,0,0,30,0.48,18.333333333333336
5,0,0,30%,0,40%,0,0,0,0,20%,0,0,0,0,40%,0,32.5,0.96,13.333333333333334
6,0,20%,0,0,40%,0,0,0,0,20%,0,0,0,40%,0,0,30,0.64,15
7,0,20%,0,0,40%,0,0,0,10%,0,0,0,0,40%,0,0,27.5,0.32,20
8,0,0,30%,0,40%,0,0,0,0,0,40%,0,0,40%,0,0,37.5,1.92,10.833333333333334
9,0,0,30%,0,40%,0,0,0,0,20%,0,0,0,40%,0,0,32.5,0.96,13.333333333333334
10,0,20%,0,0,40%,0,0,0,0,0,0,30%,0,40%,0,0,32.5,0.96,13.333333333333334
11,0,0,30%,0,0,20%,0,0,0,0,0,30%,0,40%,0,0,30,0.72,14.166666666666668
12,0,0,0,40%,0,20%,0,0,0,0,40%,0,0,0,40%,0,35,1.28,12.5
13,0,20%,0,0,0,0,30%,0,0,0,0,30%,0,0,40%,0,30,0.72,14.166666666666668
14,0,0,30%,0,0,0,30%,0,0,0,40%,0,0,0,40%,0,35,1.44,11.666666666666668
15,0,0,0,40%,0,20%,0,0,0,0,0,30%,0,0,40%,0,32.5,0.96,13.333333333333334
16,0,0,0,40%,0,0,30%,0,0,0,40%,0,0,0,0,10%,30,0.48,18.333333333333336
17,0,0,0,40%,0,0,0,10%,0,0,0,30%,0,0,40%,0,30,0.48,18.333333333333336
18,0,0,0,40%,0,0,30%,0,0,0,40%,0,0,0,40%,0,37.5,1.92,10.833333333333334
19,0,0,0,40%,0,0,0,10%,0,0,40%,0,0,0,40%,0,32.5,0.64,17.5
20,0,0,0,40%,0,20%,0,0,0,0,40%,0,0,0,0,10%,27.5,0.32,20
