,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,25%,0,0,20%,0,0,0,0,0,0,25%,10%,0,0,0,20,0.125,23
2,10%,0,0,0,0,30%,0,0,0,0,25%,0,0,0,40%,0,26.25,0.3,19.833333333333336
3,0,0,25%,0,20%,0,0,0,0,25%,0,0,10%,0,0,0,20,0.125,23
4,0,0,0,40%,20%,0,0,0,0,0,0,25%,0,25%,0,0,27.5,0.5,15.5
5,0,0,0,40%,20%,0,0,0,0,25%,0,0,0,0,40%,0,31.25,0.8,14
6,0,0,25%,0,0,0,30%,0,0,0,25%,0,0,0,40%,0,30,0.75,13.833333333333334
7,0,0,0,40%,0,30%,0,0,0,0,25%,0,0,0,0,25%,30,0.75,13.833333333333334
8,0,25%,0,0,0,0,0,20%,0,0,25%,0,0,25%,0,0,23.75,0.3125,17
9,0,25%,0,0,0,30%,0,0,0,25%,0,0,0,0,40%,0,30,0.75,13.833333333333334
10,0,25%,0,0,0,0,30%,0,0,0,25%,0,0,0,40%,0,30,0.75,13.833333333333334
11,0,25%,0,0,0,30%,0,0,25%,0,0,0,0,0,40%,0,30,0.75,13.833333333333334
12,0,0,25%,0,0,0,30%,0,25%,0,0,0,0,0,40%,0,30,0.75,13.833333333333334
13,0,0,25%,0,0,0,0,20%,0,0,0,25%,0,25%,0,0,23.75,0.3125,17
14,10%,0,0,0,0,30%,0,0,25%,0,0,0,0,0,0,25%,22.5,0.1875,21.333333333333336
15,0,0,0,40%,0,0,30%,0,0,25%,0,0,0,0,40%,0,33.75,1.2,12.333333333333334
16,0,0,25%,0,0,0,30%,0,0,25%,0,0,0,0,0,25%,26.25,0.46875,15.333333333333334
17,0,0,0,40%,0,30%,0,0,0,0,0,25%,0,0,0,25%,30,0.75,13.833333333333334
18,0,0,0,40%,0,0,0,20%,0,0,0,25%,0,25%,0,0,27.5,0.5,15.5
19,0,0,0,40%,0,0,30%,0,25%,0,0,0,0,25%,0,0,30,0.75,13.833333333333334
20,0,0,0,40%,0,0,0,20%,25%,0,0,0,0,0,0,25%,27.5,0.5,15.5
