,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,0,0,25%,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,25,0.390625,16
2,10%,0,0,0,0,0,25%,0,25%,0,0,0,40%,0,0,0,25,0.25,20.5
3,0,0,25%,0,0,25%,0,0,0,0,25%,0,40%,0,0,0,28.75,0.625,14.5
4,0,0,0,40%,0,25%,0,0,0,0,25%,0,40%,0,0,0,32.5,1,13
5,10%,0,0,0,0,25%,0,0,0,0,25%,0,40%,0,0,0,25,0.25,20.5
6,0,25%,0,0,25%,0,0,0,0,0,25%,0,40%,0,0,0,28.75,0.625,14.5
7,0,0,0,40%,0,25%,0,0,25%,0,0,0,0,0,25%,0,28.75,0.625,14.5
8,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
9,0,0,25%,0,0,0,0,25%,0,0,25%,0,40%,0,0,0,28.75,0.625,14.5
10,0,0,0,40%,25%,0,0,0,0,25%,0,0,0,25%,0,0,28.75,0.625,14.5
11,0,25%,0,0,25%,0,0,0,25%,0,0,0,40%,0,0,0,28.75,0.625,14.5
12,0,0,0,40%,25%,0,0,0,0,25%,0,0,40%,0,0,0,32.5,1,13
13,0,0,0,40%,0,0,0,25%,0,25%,0,0,0,25%,0,0,28.75,0.625,14.5
14,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
15,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
16,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,25,0.390625,16
17,0,0,0,40%,0,0,25%,0,0,0,0,25%,0,0,0,10%,25,0.25,20.5
18,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,0,0,10%,21.25,0.15625,22
19,0,0,0,40%,0,0,0,25%,0,0,0,25%,0,0,25%,0,28.75,0.625,14.5
20,0,0,0,40%,25%,0,0,0,0,0,0,25%,0,0,25%,0,28.75,0.625,14.5
