,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,40%,0,0,0,0,0,0,25%,0,0,0,30%,0,25%,0,0,30,0.75,13.833333333333334
2,0,30%,0,0,30%,0,0,0,25%,0,0,0,0,25%,0,0,27.5,0.5625,14.666666666666668
3,40%,0,0,0,0,0,25%,0,25%,0,0,0,50%,0,0,0,35,1.25,12.5
4,40%,0,0,0,0,20%,0,0,0,25%,0,0,0,25%,0,0,27.5,0.5,15.5
5,40%,0,0,0,0,0,25%,0,0,0,0,30%,50%,0,0,0,36.25,1.5,11.833333333333334
6,40%,0,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,28.75,0.625,14.5
7,0,0,0,10%,30%,0,0,0,25%,0,0,0,0,25%,0,0,22.5,0.1875,21.333333333333336
8,40%,0,0,0,0,0,0,25%,0,25%,0,0,0,0,0,5%,23.75,0.125,30.5
9,40%,0,0,0,0,0,25%,0,0,0,20%,0,50%,0,0,0,33.75,1,13.5
10,0,0,0,10%,0,0,25%,0,0,0,0,30%,50%,0,0,0,28.75,0.375,19.333333333333332
11,0,30%,0,0,0,0,25%,0,25%,0,0,0,50%,0,0,0,32.5,0.9375,13.333333333333334
12,40%,0,0,0,30%,0,0,0,0,0,20%,0,50%,0,0,0,35,1.2,12.833333333333334
13,0,0,20%,0,30%,0,0,0,0,0,0,30%,50%,0,0,0,32.5,0.9,13.666666666666668
14,0,30%,0,0,0,20%,0,0,0,25%,0,0,0,0,20%,0,23.75,0.3,17.333333333333336
15,0,30%,0,0,30%,0,0,0,0,0,20%,0,50%,0,0,0,32.5,0.9,13.666666666666668
16,0,30%,0,0,0,20%,0,0,0,25%,0,0,50%,0,0,0,31.25,0.75,14.333333333333334
17,0,0,20%,0,0,0,0,25%,0,0,0,30%,0,0,20%,0,23.75,0.3,17.333333333333336
18,0,0,20%,0,0,0,0,25%,0,25%,0,0,0,0,20%,0,22.5,0.25,18
19,0,0,20%,0,0,20%,0,0,0,0,20%,0,0,0,20%,0,20,0.16,20
20,0,30%,0,0,30%,0,0,0,0,0,0,30%,50%,0,0,0,35,1.35,12
