,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,25%,0,0,0,0,25%,0,0,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
2,25%,0,0,0,25%,0,0,0,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
3,0,0,0,25%,25%,0,0,0,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
4,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
5,0,0,25%,0,0,0,0,25%,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
6,0,0,25%,0,0,25%,0,0,0,0,25%,0,45%,0,0,0,30,0.703125,14.222222222222221
7,0,0,0,25%,25%,0,0,0,0,0,0,25%,45%,0,0,0,30,0.703125,14.222222222222221
8,25%,0,0,0,0,0,0,25%,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
9,25%,0,0,0,25%,0,0,0,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
10,0,25%,0,0,0,0,0,25%,0,0,25%,0,45%,0,0,0,30,0.703125,14.222222222222221
11,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
12,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
13,25%,0,0,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
14,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
15,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
16,0,0,0,25%,0,0,0,25%,25%,0,0,0,0,0,25%,0,25,0.390625,16
17,0,25%,0,0,0,0,0,25%,25%,0,0,0,0,0,25%,0,25,0.390625,16
18,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
19,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
20,0,25%,0,0,0,0,25%,0,0,0,0,25%,0,0,0,5%,20,0.078125,32
