,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,GlassDome,Headset,Helmet,NFTHelmet,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
1,45%,0,0,0,25%,0,0,0,0,0,25%,0,45%,0,0,0,35,1.265625,12.444444444444443
2,45%,0,0,0,0,0,25%,0,25%,0,0,0,45%,0,0,0,35,1.265625,12.444444444444443
3,45%,0,0,0,25%,0,0,0,25%,0,0,0,45%,0,0,0,35,1.265625,12.444444444444443
4,0,0,25%,0,0,0,25%,0,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
5,0,0,25%,0,0,0,0,25%,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
6,0,25%,0,0,25%,0,0,0,0,0,0,25%,45%,0,0,0,30,0.703125,14.222222222222221
7,45%,0,0,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,30,0.703125,14.222222222222221
8,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
9,0,25%,0,0,0,0,25%,0,0,0,25%,0,45%,0,0,0,30,0.703125,14.222222222222221
10,45%,0,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,30,0.703125,14.222222222222221
11,0,25%,0,0,0,25%,0,0,25%,0,0,0,45%,0,0,0,30,0.703125,14.222222222222221
12,45%,0,0,0,0,25%,0,0,25%,0,0,0,0,0,0,5%,25,0.140625,30.22222222222222
13,0,0,25%,0,0,25%,0,0,0,25%,0,0,45%,0,0,0,30,0.703125,14.222222222222221
14,45%,0,0,0,0,0,25%,0,0,0,0,25%,0,25%,0,0,30,0.703125,14.222222222222221
15,0,0,25%,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
16,45%,0,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,30,0.703125,14.222222222222221
17,45%,0,0,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,30,0.703125,14.222222222222221
18,0,0,0,5%,0,0,0,25%,0,0,0,25%,0,0,25%,0,20,0.078125,32
19,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,25,0.390625,16
20,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,25,0.390625,16
