Image	Name	Price	Description	Metadata	Rarity
http://multiple-files.test/NFT62adb70b18ad6/output/images/1.png	names #1	 	Collections	https://piptle.mypinata.cloud/ipfs//1.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/10.png	names #10	 	Collections	https://piptle.mypinata.cloud/ipfs//10.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/11.png	names #11	 	Collections	https://piptle.mypinata.cloud/ipfs//11.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/12.png	names #12	 	Collections	https://piptle.mypinata.cloud/ipfs//12.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/13.png	names #13	 	Collections	https://piptle.mypinata.cloud/ipfs//13.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/14.png	names #14	 	Collections	https://piptle.mypinata.cloud/ipfs//14.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/15.png	names #15	 	Collections	https://piptle.mypinata.cloud/ipfs//15.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/16.png	names #16	 	Collections	https://piptle.mypinata.cloud/ipfs//16.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/17.png	names #17	 	Collections	https://piptle.mypinata.cloud/ipfs//17.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/18.png	names #18	 	Collections	https://piptle.mypinata.cloud/ipfs//18.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/19.png	names #19	 	Collections	https://piptle.mypinata.cloud/ipfs//19.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/2.png	names #2	 	Collections	https://piptle.mypinata.cloud/ipfs//2.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/20.png	names #20	 	Collections	https://piptle.mypinata.cloud/ipfs//20.json	32
http://multiple-files.test/NFT62adb70b18ad6/output/images/3.png	names #3	 	Collections	https://piptle.mypinata.cloud/ipfs//3.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/4.png	names #4	 	Collections	https://piptle.mypinata.cloud/ipfs//4.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/5.png	names #5	 	Collections	https://piptle.mypinata.cloud/ipfs//5.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/6.png	names #6	 	Collections	https://piptle.mypinata.cloud/ipfs//6.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/7.png	names #7	 	Collections	https://piptle.mypinata.cloud/ipfs//7.json	16
http://multiple-files.test/NFT62adb70b18ad6/output/images/8.png	names #8	 	Collections	https://piptle.mypinata.cloud/ipfs//8.json	14.222222222222221
http://multiple-files.test/NFT62adb70b18ad6/output/images/9.png	names #9	 	Collections	https://piptle.mypinata.cloud/ipfs//9.json	16
